system:index,Acrisols,Albeluvisols,Alisols,Amazonas_Solimoes,Amazonia,Amazonia_1,Andosols,Area_Estavel,Arenosols,Borborema,Caatinga,Calcisols,Cambisols,Campinarana,Cerrado,Chernozems,Cobertura_Cenozoica,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Costeira_Margem_Continental,Cryosols,Durisols,Estepe,Ferralsols,Ferralsols_1,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Fluvisols,Formacao_Pioneira,Gleysols,Gurupi,Gypsisols,Histosols,Histosols_1,Humisols,ID,Kastanozems,Leptosols,Lixisols,Luvisols,Mantiqueira,Massa_d_agua,Mata_Atlantica,Nitisols,Pampa,Pantanal,Parana,Parecis,Parnaiba,Phaeozems,Planosols,Plinthosols,Podzols,Reconcavo_Tucano_Jatoba,Regosols,Sandysols,Sao_Francisco,Sao_Luis,Savana,Savana_Estepica,Solonchaks,Solonetz,Stagnosols,Thinsols,Tocantis,Umbrisols,Vertisols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,roughness,sand,silt,slope,soc,spi,.geo
00000000000000000840_0,30,0,0,0,0,0,0,1,1,0,0,0,4,0,0,3,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2113,0,10,2,10,0,0,1,17,0,0,1,0,0,5,2,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,3,2,110,10.0,58.28,11.95,2.98,169,107,103,27,2.8,-1,-10,76.0,11,206,24649,-2.573327623107534,-2.157499727963823,19007,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,7,149,-6,52,40,785,109,14,247,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80796262465418,-29.64965952035631]}"
00000000000000000841_0,30,0,1,0,0,0,0,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2114,0,10,3,10,0,0,1,16,0,0,1,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,2,110,9.0,58.28,11.95,2.98,165,106,106,49,2.8,-8,-16,76.0,7,215,24649,-2.70578775669824,-2.722882190057541,19009,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,3,187,-3,52,29,779,113,9,237,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.809040602995125,-29.649390025771076]}"
00000000000000000842_0,30,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2115,0,9,4,10,0,0,1,16,0,0,1,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,2,2,109,9.0,58.28,11.95,2.98,162,105,107,43,2.8,9,-14,76.0,4,222,24649,-3.062500450018831,-2.705825506080099,19009,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,7,180,-1,52,24,774,115,8,229,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80984908675083,-29.649390025771076]}"
00000000000000000843_0,27,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2116,0,10,4,10,0,0,1,17,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,1,108,9.0,58.28,11.95,2.98,161,106,115,32,2.8,22,-7,76.0,6,217,24649,-1.916168179856576,-2.201005300176126,19010,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,8,162,-9,52,33,755,128,11,218,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.810927065091775,-29.649390025771076]}"
00000000000000000844_0,24,0,1,0,0,0,1,1,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2117,0,11,2,11,0,0,1,17,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,2,1,109,9.0,58.28,11.95,2.98,161,107,128,46,2.8,20,-24,76.0,20,228,24649,-2.826531804722733,-2.845579999693428,19012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,15,185,-10,53,75,719,150,26,239,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81200504343272,-29.649120531185837]}"
00000000000000000845_0,21,1,1,0,0,0,1,1,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2118,0,11,2,7,0,0,1,28,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,107,10.0,58.28,11.95,2.98,168,105,228,22,2.8,0,-16,76.0,19,329,24632,-1.028335445252142,-0.243695924267531,19015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25,-2,148,7,53,55,363,406,20,275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.815508473040786,-29.632950856071687]}"
00000000000000000846_0,20,1,0,0,0,0,1,1,0,0,0,0,6,0,0,3,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2119,0,10,3,7,0,0,1,30,0,0,1,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,107,10.0,58.28,11.95,2.98,166,105,190,24,2.8,-11,-22,76.0,28,294,24632,-3.032266016886447,-2.619078862684372,19014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,-6,154,11,53,73,490,317,30,257,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81443049469984,-29.632411866901215]}"
00000000000000000847_0,23,1,1,0,0,0,1,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2120,0,10,3,9,0,0,1,24,0,0,1,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,1,108,10.0,58.28,11.95,2.98,166,107,168,28,2.8,-8,-22,76.0,33,264,24631,-0.695548142097484,-0.106160195828391,19013,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,-3,165,1,53,82,569,259,35,245,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81362201094414,-29.631872877730743]}"
00000000000000000848_0,26,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2121,0,10,3,11,0,0,1,17,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,3,1,108,10.0,58.28,11.95,2.98,165,108,153,33,2.8,22,-16,76.0,26,232,24631,-2.220931239637206,-2.083147537274153,19012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,3,173,-12,53,65,621,223,27,249,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81254403260319,-29.63160338314551]}"
00000000000000000849_0,26,0,1,0,0,0,0,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,3,0,0,0,0,0,0,11,2122,0,9,3,10,0,0,1,19,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,2,1,108,10.0,58.28,11.95,2.98,166,109,155,37,2.8,47,1,76.0,13,204,24631,-2.963703030981714,-2.649209701079277,19011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,178,-21,53,45,623,219,16,254,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81146605426225,-29.63133388856027]}"
