system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,ID,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,prediction_clay_0_30cm,prediction_sand_0_30cm,prediction_silt_0_30cm,roughness,sand,silt,slope,soc,spi,.geo
000000000000000001b9,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,99,0,0,0,4,0,0,17,2,141,4.0,9.59,5.85,1.25,200,147,238,73,1.6,39,46,18.28,0,243,1998,-1.469995595561867,-1.658077824098858,2519,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,177,-1,61,17.2668329032951,66.58372399949849,16.1494430972064,8,517,242,2,82,5,"{""type"":""Point"",""coordinates"":[-37.31920663672242,-6.998371821139061]}"
000000000000000001ba,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,102,0,0,0,3,0,1,14,2,141,4.0,9.59,5.85,1.25,207,131,240,59,1.6,47,44,18.28,0,250,2003,-1.309686291572079,-1.374536586788098,2512,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,2,173,0,62,19.033610754164528,63.33427202977007,17.632117216065403,10,522,235,3,77,6,"{""type"":""Point"",""coordinates"":[-37.312736481093864,-7.003758415211624]}"
000000000000000001bb,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,116,0,0,0,4,0,1,11,1,141,4.0,9.59,5.85,1.25,205,130,241,75,1.6,-39,-10,18.28,3,251,2002,-1.448841859021256,-1.683170437491539,2514,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,-1,191,0,62,16.566824734570247,69.00753275143889,14.425642513990875,9,523,233,3,77,0,"{""type"":""Point"",""coordinates"":[-37.31462268083948,-7.00295131792095]}"
000000000000000001bc,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,120,0,0,0,4,0,1,12,1,141,4.0,9.59,5.85,1.25,202,132,241,73,1.6,13,-6,18.28,0,253,2002,-0.377585478186385,-1.241019721481338,2516,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3,178,0,61,19.562482831988785,63.82602616362434,16.61149100438687,10,523,233,3,75,0,"{""type"":""Point"",""coordinates"":[-37.31650888058508,-7.002144220630276]}"
000000000000000001bd,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,124,0,0,0,1,0,1,19,4,141,4.0,9.59,5.85,1.25,183,119,228,77,1.6,5,0,18.28,0,255,1994,-1.653586347308021,-1.773951844994331,2527,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,-1,193,0,62,14.773941809015978,71.81328407643144,13.412774114552567,5,512,257,2,77,0,"{""type"":""Point"",""coordinates"":[-37.32729098693232,-6.994059870420379]}"
000000000000000001be,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,130,0,0,0,3,0,1,12,2,141,4.0,9.59,5.85,1.25,218,138,231,73,1.6,-40,-8,18.28,1,246,2001,-2.115539262001103,-1.773444444675037,2512,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,202,2,62,14.82885010621178,69.72001605043157,15.45113384335666,6,522,244,1,80,0,"{""type"":""Point"",""coordinates"":[-37.31273648109387,-7.001332664238548]}"
000000000000000001bf,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,137,0,0,0,4,0,1,11,1,141,4.0,9.59,5.85,1.25,201,132,241,65,1.6,-23,-14,18.28,1,250,2001,-2.050633511636404,-1.616676101182272,2519,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3,177,0,61,14.777052393995127,69.98087002373636,15.242077582268507,12,521,235,4,73,0,"{""type"":""Point"",""coordinates"":[-37.31920663672242,-7.001065118175344]}"
000000000000000001c0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,148,0,0,0,3,0,1,11,1,142,4.0,9.59,5.85,1.25,207,132,221,72,1.6,-6,-11,18.28,-2,258,2005,-1.770670244213132,-1.414719815827996,2505,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,187,0,62,15.204767387782242,68.68683430079294,16.10839831142482,9,539,237,3,77,0,"{""type"":""Point"",""coordinates"":[-37.30519168211145,-7.005377068894026]}"
000000000000000001c1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,153,0,0,0,2,0,1,14,4,142,4.0,9.59,5.85,1.25,203,127,226,93,1.6,-27,-20,18.28,0,285,1985,-1.491788712576059,-2.553482414224391,2537,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,-5,191,-1,61,17.47904601823627,70.71798209692115,11.80297188484259,13,521,251,5,85,0,"{""type"":""Point"",""coordinates"":[-37.337533542052086,-6.9857035150462226]}"
000000000000000001ec,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1351,0,0,0,2,0,1,10,1,138,4.0,9.59,5.85,1.25,159,56,273,78,1.6,13,-2,18.28,0,393,4529,-2.544683705490922,-3.152158008271531,5718,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,193,0,65,10.507676403892356,81.55641003121505,7.9359135648926,2,521,203,1,63,0,"{""type"":""Point"",""coordinates"":[-40.518375310214005,-9.529464597500224]}"
