id,coord_x,coord_y,depth,clay,silt,sand
ctb0793-PERFIL-06,-51.52068,-29.21564,12.5,27,37,36
ctb0793-PERFIL-06,-51.52068,-29.21564,34.5,24,38,38
ctb0793-PERFIL-07,-51.51431,-29.23352,20,35,31,34
ctb0793-PERFIL-08,-51.55334,-29.20177,15,29,36,35
ctb0793-PERFIL-08,-51.55334,-29.20177,47.5,39,29,32
ctb0793-PERFIL-11,-51.54481,-29.1881,20,29,30,41
ctb0793-PERFIL-13,-51.53924,-29.17467,9,21,33,46
ctb0793-PERFIL-13,-51.53924,-29.17467,29,18,35,47
ctb0793-PERFIL-16,-51.57718,-29.16068,7.5,25,39,36
ctb0793-PERFIL-17,-51.5978,-29.16959,10,33,35,32
ctb0793-PERFIL-17,-51.5978,-29.16959,27.5,41,39,20
ctb0793-PERFIL-18,-51.5972,-29.14853,12,35,48,17
ctb0793-PERFIL-18,-51.5972,-29.14853,30,53,37,10
ctb0793-PERFIL-19,-51.56288,-29.14426,25,52,40,8
ctb0793-PERFIL-20,-51.57164,-29.14591,7.5,35,33,32
ctb0793-PERFIL-20,-51.57164,-29.14591,28.5,35,35,30
ctb0794-01-EXTRA,-55.36976,-30.79754,50,20,36,44
ctb0794-02-EXTRA,-55.40446,-30.87394,25,13,8,79
ctb0794-1,-55.28273,-30.78382,10,20,36,44
ctb0794-1,-55.28273,-30.78382,36,23,31,46
ctb0794-2,-55.46846,-30.80698,20,9,5,86
ctb0794-3,-55.4691,-30.80162,12.5,13,6,81
ctb0794-3,-55.4691,-30.80162,39,15,1,84
ctb0794-4,-55.46617,-30.81803,10,20,29,51
ctb0794-4,-55.46617,-30.81803,50,46,23,31
ctb0794-5,-55.41532,-30.85203,25,27,21,52
ctb0794-6,-55.29615,-30.86733,25,5,3,92
ctb0794-8,-55.25384,-30.79333,28,8,1,91
ctb0794-9,-55.47254,-30.92276,7.5,8,15,77
ctb0796-1,-43.44978,-22.41429,7.5,40,11,49
ctb0796-1,-43.44978,-22.41429,32.5,53,9,38
ctb0796-10,-43.45093,-22.40513,4,49,14,37
ctb0796-10,-43.45093,-22.40513,23,47,15,38
ctb0796-12,-43.46906,-22.39542,8.5,20,12,68
ctb0796-12,-43.46906,-22.39542,31.5,30,11,59
ctb0796-14,-43.46132,-22.39716,5,36,17,47
ctb0796-14,-43.46132,-22.39716,15,45,13,42
ctb0796-14,-43.46132,-22.39716,30,49,12,39
ctb0796-15,-43.41598,-22.34543,11,38,11,51
ctb0796-15,-43.41598,-22.34543,45,51,9,40
ctb0796-2,-43.43825,-22.39705,12.5,39,12,49
ctb0796-2,-43.43825,-22.39705,47.5,49,10,41
ctb0796-22,-43.42127,-22.39263,4.5,28,9,63
ctb0796-22,-43.42127,-22.39263,14,45,9,46
ctb0796-22,-43.42127,-22.39263,39.5,53,2,45
ctb0796-23,-43.43505,-22.38397,8.5,34,13,53
